FromID,ToID,Type,Name,Orientation,Align
102,105,RT,Temporal,1,1
105,111,RT,Temporal,1,2
111,122,RT,Temporal,1,2
122,133,RT,Temporal,1,2
133,144,RT,Temporal,1,2
144,155,RT,Temporal,1,2
155,165,RT,Temporal,1,2
165,170,RT,Temporal,1,1
102,106,RP,Parasagittal,1,1
106,113,RP,Parasagittal,1,1
113,124,RP,Parasagittal,1,1
124,135,RP,Parasagittal,1,1
135,146,RP,Parasagittal,1,1
146,157,RP,Parasagittal,1,1
157,166,RP,Parasagittal,1,1
166,170,RP,Parasagittal,1,1
107,115,CC,Central,0,0
115,126,CC,Central,0,0
126,137,CC,Central,0,0
137,148,CC,Central,0,0
148,159,CC,Central,0,0
159,167,CC,Central,0,0
104,109,LT,Temporal,2,1
109,119,LT,Temporal,2,2
119,130,LT,Temporal,2,2
130,141,LT,Temporal,2,2
141,152,LT,Temporal,2,2
152,163,LT,Temporal,2,2
163,169,LT,Temporal,2,2
169,172,LT,Temporal,2,1
104,108,LP,Parasagittal,1,1
108,117,LP,Parasagittal,1,1
117,128,LP,Parasagittal,1,1
128,139,LP,Parasagittal,1,1
139,150,LP,Parasagittal,1,1
150,161,LP,Parasagittal,1,1
161,168,LP,Parasagittal,1,1
168,172,LP,Parasagittal,1,1
