FromID,ToID,Orientation
101,11,0
102,12,1
103,12,0
104,12,2
105,13,1
106,13,1
107,13,0
108,13,2
109,13,2
110,12,1
111,12,1
112,12,1
113,12,1
114,12,1
115,12,0
116,12,2
117,12,2
118,12,2
119,12,2
120,12,0
121,14,1
122,14,1
123,15,1
124,15,1
125,15,1
126,15,0
127,15,2
128,15,2
129,15,2
130,14,2
131,14,0
132,16,1
133,17,1
134,18,1
135,18,1
136,18,1
137,18,0
138,18,2
139,18,2
140,18,2
141,17,2
142,19,2
143,20,1
144,20,1
145,21,1
146,21,1
147,21,1
148,21,0
149,21,2
150,21,2
151,21,2
152,20,2
153,20,0
154,22,1
155,22,1
156,22,1
157,22,1
158,22,1
159,22,0
160,22,2
161,22,2
162,22,2
163,22,2
164,22,0
165,23,1
166,23,1
167,23,0
168,23,2
169,23,2
170,24,1
171,24,0
172,24,2
173,25,0
